2026-02-19 06:12:19,465 - INFO - Starting training...
2026-02-19 06:12:19,465 - INFO - Loaded config from /data2/cmdir/home/ioit111/trung_ng/LDSeg-mod/train_config.ini
2026-02-19 06:12:19,465 - INFO - Using device: cuda
2026-02-19 06:12:19,470 - INFO - Data augmentation DISABLED
2026-02-19 06:12:22,743 - INFO - Train Dataset loaded with 13008 samples.
2026-02-19 06:12:22,808 - INFO - Validation Dataset loaded with 200 samples.
2026-02-19 06:12:24,618 - INFO - Noise scheduler: cosine, steps: 1000
2026-02-19 06:12:29,740 - INFO - Epoch 1/100 Batch 1/542 - Loss: 15.295938 (Recon: 1.400511, Diff: 1.000125, KL: 128953.023438)
2026-02-19 06:12:30,003 - INFO - Epoch 1/100 Batch 2/542 - Loss: 5.441861 (Recon: 1.396329, Diff: 1.068777, KL: 29767.546875)
2026-02-19 06:12:30,262 - INFO - Epoch 1/100 Batch 3/542 - Loss: 12.578190 (Recon: 1.396832, Diff: 1.014032, KL: 101673.265625)
2026-02-19 06:12:30,522 - INFO - Epoch 1/100 Batch 4/542 - Loss: 4.883169 (Recon: 1.397930, Diff: 1.002464, KL: 24827.761719)
2026-02-19 06:12:30,780 - INFO - Epoch 1/100 Batch 5/542 - Loss: 5.165642 (Recon: 1.406464, Diff: 1.057468, KL: 27017.099609)
2026-02-19 06:12:31,041 - INFO - Epoch 1/100 Batch 6/542 - Loss: 4.618385 (Recon: 1.395528, Diff: 1.070597, KL: 21522.599609)
2026-02-19 06:12:31,309 - INFO - Epoch 1/100 Batch 7/542 - Loss: 7.573997 (Recon: 1.395611, Diff: 1.066165, KL: 51122.218750)
2026-02-19 06:12:31,571 - INFO - Epoch 1/100 Batch 8/542 - Loss: 7.095369 (Recon: 1.399750, Diff: 1.052855, KL: 46427.636719)
2026-02-19 06:12:31,826 - INFO - Epoch 1/100 Batch 9/542 - Loss: 4.021229 (Recon: 1.405898, Diff: 1.108294, KL: 15070.365234)
2026-02-19 06:12:32,081 - INFO - Epoch 1/100 Batch 10/542 - Loss: 12.711134 (Recon: 1.398492, Diff: 0.978838, KL: 103338.046875)
2026-02-19 06:12:32,339 - INFO - Epoch 1/100 Batch 11/542 - Loss: 30.272942 (Recon: 1.399070, Diff: 1.004854, KL: 278690.187500)
2026-02-19 06:12:32,597 - INFO - Epoch 1/100 Batch 12/542 - Loss: 3.872013 (Recon: 1.398406, Diff: 1.015762, KL: 14578.455078)
2026-02-19 06:12:32,856 - INFO - Epoch 1/100 Batch 13/542 - Loss: 6.721381 (Recon: 1.395680, Diff: 1.036668, KL: 42890.332031)
2026-02-19 06:12:33,113 - INFO - Epoch 1/100 Batch 14/542 - Loss: 7.195999 (Recon: 1.398152, Diff: 1.018410, KL: 47794.371094)
2026-02-19 06:12:33,369 - INFO - Epoch 1/100 Batch 15/542 - Loss: 4.094553 (Recon: 1.401970, Diff: 1.098438, KL: 15941.456055)
2026-02-19 06:12:33,620 - INFO - Epoch 1/100 Batch 16/542 - Loss: 8.043037 (Recon: 1.398112, Diff: 1.050843, KL: 55940.820312)
2026-02-19 06:12:33,877 - INFO - Epoch 1/100 Batch 17/542 - Loss: 4.725780 (Recon: 1.391997, Diff: 1.064997, KL: 22687.859375)
2026-02-19 06:12:34,130 - INFO - Epoch 1/100 Batch 18/542 - Loss: 8.658617 (Recon: 1.394883, Diff: 1.029976, KL: 62337.585938)
2026-02-19 06:12:34,387 - INFO - Epoch 1/100 Batch 19/542 - Loss: 6.181204 (Recon: 1.393199, Diff: 1.021754, KL: 37662.511719)
2026-02-19 06:12:34,649 - INFO - Epoch 1/100 Batch 20/542 - Loss: 7.202701 (Recon: 1.392498, Diff: 1.049587, KL: 47606.152344)
2026-02-19 06:12:34,909 - INFO - Epoch 1/100 Batch 21/542 - Loss: 32.865715 (Recon: 1.392282, Diff: 1.022667, KL: 304507.687500)
2026-02-19 06:12:35,165 - INFO - Epoch 1/100 Batch 22/542 - Loss: 44.944622 (Recon: 1.393862, Diff: 1.059275, KL: 424914.875000)
2026-02-19 06:12:35,428 - INFO - Epoch 1/100 Batch 23/542 - Loss: 4.219696 (Recon: 1.389371, Diff: 1.020112, KL: 18102.125000)
